File Name,Emotion1,Emotion2,Emotion3
['382_Nai_bgm']/0to4.jpg,blank,None,None
['382_Nai_bgm']/4to10.jpg,happy,None,None
['382_Nai_bgm']/10to25.jpg,happy,None,None
['382_Nai_bgm']/25to35.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/35to42.jpg,emotional,None,None
['382_Nai_bgm']/42to52.jpg,emotional,None,None
['382_Nai_bgm']/52to68.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/68to79.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/79to89.jpg,no emotion,None,None
['382_Nai_bgm']/89to106.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/106to125.jpg,no emotion,None,None
['382_Nai_bgm']/125to135.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/135to154.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/154to176.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/176to191.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/191to198.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/198to203.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/203to218.jpg,emotional,None,None
['382_Nai_bgm']/218to256.jpg,emotional,None,None
['382_Nai_bgm']/256to273.jpg,emotional,None,None
['382_Nai_bgm']/273to302.jpg,emotional,None,None
['382_Nai_bgm']/302to331.jpg,emotional,None,None
['382_Nai_bgm']/331to347.jpg,emotional,None,None
['382_Nai_bgm']/347to359.jpg,emotional,None,None
['382_Nai_bgm']/359to371.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/371to378.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/378to390.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/390to395.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/395to399.jpg,no emotion,None,None
['382_Nai_bgm']/399to410.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/410to422.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/422to453.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/453to474.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/474to497.jpg,emotional,None,None
['382_Nai_bgm']/497to501.jpg,no emotion,None,None
['382_Nai_bgm']/501to511.jpg,emotional,None,None
['382_Nai_bgm']/511to515.jpg,blank,None,None
['382_Nai_bgm']/515to522.jpg,Intense - Tension/Fight,None,None
['382_Nai_bgm']/522to530.jpg,emotional,None,None
['382_Nai_bgm']/530to534.jpg,no emotion,None,None
['382_Nai_bgm']/534to541.jpg,emotional,None,None
['382_Nai_bgm']/541to553.jpg,emotional,None,None
['382_Nai_bgm']/553to557.jpg,no emotion,None,None
['382_Nai_bgm']/557to561.jpg,blank,None,None
['382_Nai_bgm']/561to572.jpg,emotional,None,None
['382_Nai_bgm']/572to593.jpg,emotional,None,None
['382_Nai_bgm']/593to601.jpg,happy,None,None
['382_Nai_bgm']/601to617.jpg,happy,None,None
['382_Nai_bgm']/617to621.jpg,happy,None,None
['382_Nai_bgm']/621to626.jpg,happy,None,None
