filename,emotion1,emotion2,emotion3,videofilename,start,end
['382_Nai_bgm']/0to4.jpg,blank,None,None,382_Nai,0,4
['382_Nai_bgm']/4to10.jpg,happy,None,None,382_Nai,4,10
['382_Nai_bgm']/10to25.jpg,happy,None,None,382_Nai,10,25
['382_Nai_bgm']/25to35.jpg,Intense - Tension/Fight,None,None,382_Nai,25,35
['382_Nai_bgm']/35to42.jpg,emotional,None,None,382_Nai,35,42
['382_Nai_bgm']/42to52.jpg,emotional,None,None,382_Nai,42,52
['382_Nai_bgm']/52to68.jpg,Intense - Tension/Fight,None,None,382_Nai,52,68
['382_Nai_bgm']/68to79.jpg,Intense - Tension/Fight,None,None,382_Nai,68,79
['382_Nai_bgm']/79to89.jpg,no emotion,None,None,382_Nai,79,89
['382_Nai_bgm']/89to106.jpg,Intense - Tension/Fight,None,None,382_Nai,89,106
['382_Nai_bgm']/106to125.jpg,no emotion,None,None,382_Nai,106,125
['382_Nai_bgm']/125to135.jpg,Intense - Tension/Fight,None,None,382_Nai,125,135
['382_Nai_bgm']/135to154.jpg,Intense - Tension/Fight,None,None,382_Nai,135,154
['382_Nai_bgm']/154to176.jpg,Intense - Tension/Fight,None,None,382_Nai,154,176
['382_Nai_bgm']/176to191.jpg,Intense - Tension/Fight,None,None,382_Nai,176,191
['382_Nai_bgm']/191to198.jpg,Intense - Tension/Fight,None,None,382_Nai,191,198
['382_Nai_bgm']/198to203.jpg,Intense - Tension/Fight,None,None,382_Nai,198,203
['382_Nai_bgm']/203to218.jpg,emotional,None,None,382_Nai,203,218
['382_Nai_bgm']/218to256.jpg,emotional,None,None,382_Nai,218,256
['382_Nai_bgm']/256to273.jpg,emotional,None,None,382_Nai,256,273
['382_Nai_bgm']/273to302.jpg,emotional,None,None,382_Nai,273,302
['382_Nai_bgm']/302to331.jpg,emotional,None,None,382_Nai,302,331
['382_Nai_bgm']/331to347.jpg,emotional,None,None,382_Nai,331,347
['382_Nai_bgm']/347to359.jpg,emotional,None,None,382_Nai,347,359
['382_Nai_bgm']/359to371.jpg,Intense - Tension/Fight,None,None,382_Nai,359,371
['382_Nai_bgm']/371to378.jpg,Intense - Tension/Fight,None,None,382_Nai,371,378
['382_Nai_bgm']/378to390.jpg,Intense - Tension/Fight,None,None,382_Nai,378,390
['382_Nai_bgm']/390to395.jpg,Intense - Tension/Fight,None,None,382_Nai,390,395
['382_Nai_bgm']/395to399.jpg,no emotion,None,None,382_Nai,395,399
['382_Nai_bgm']/399to410.jpg,Intense - Tension/Fight,None,None,382_Nai,399,410
['382_Nai_bgm']/410to422.jpg,Intense - Tension/Fight,None,None,382_Nai,410,422
['382_Nai_bgm']/422to453.jpg,Intense - Tension/Fight,None,None,382_Nai,422,453
['382_Nai_bgm']/453to474.jpg,Intense - Tension/Fight,None,None,382_Nai,453,474
['382_Nai_bgm']/474to497.jpg,emotional,None,None,382_Nai,474,497
['382_Nai_bgm']/497to501.jpg,no emotion,None,None,382_Nai,497,501
['382_Nai_bgm']/501to511.jpg,emotional,None,None,382_Nai,501,511
['382_Nai_bgm']/511to515.jpg,blank,None,None,382_Nai,511,515
['382_Nai_bgm']/515to522.jpg,Intense - Tension/Fight,None,None,382_Nai,515,522
['382_Nai_bgm']/522to530.jpg,emotional,None,None,382_Nai,522,530
['382_Nai_bgm']/530to534.jpg,no emotion,None,None,382_Nai,530,534
['382_Nai_bgm']/534to541.jpg,emotional,None,None,382_Nai,534,541
['382_Nai_bgm']/541to553.jpg,emotional,None,None,382_Nai,541,553
['382_Nai_bgm']/553to557.jpg,no emotion,None,None,382_Nai,553,557
['382_Nai_bgm']/557to561.jpg,blank,None,None,382_Nai,557,561
['382_Nai_bgm']/561to572.jpg,emotional,None,None,382_Nai,561,572
['382_Nai_bgm']/572to593.jpg,emotional,None,None,382_Nai,572,593
['382_Nai_bgm']/593to601.jpg,happy,None,None,382_Nai,593,601
['382_Nai_bgm']/601to617.jpg,happy,None,None,382_Nai,601,617
['382_Nai_bgm']/617to621.jpg,happy,None,None,382_Nai,617,621
['382_Nai_bgm']/621to626.jpg,happy,None,None,382_Nai,621,626
['382_Nai_bgm']/626to630.jpg,no emotion,None,None,382_Nai,626,630
['382_Nai_bgm']/630to642.jpg,no emotion,emotional,None,382_Nai,630,642
['382_Nai_bgm']/642to652.jpg,emotional,None,None,382_Nai,642,652
['382_Nai_bgm']/652to663.jpg,emotional,None,None,382_Nai,652,663
['382_Nai_bgm']/663to684.jpg,no emotion,emotional,None,382_Nai,663,684
['382_Nai_bgm']/684to706.jpg,emotional,None,None,382_Nai,684,706
['382_Nai_bgm']/706to710.jpg,Intense - Tension/Fight,None,None,382_Nai,706,710
['382_Nai_bgm']/710to727.jpg,emotional,None,None,382_Nai,710,727
['382_Nai_bgm']/727to731.jpg,no emotion,None,None,382_Nai,727,731
['382_Nai_bgm']/731to750.jpg,Intense - Tension/Fight,None,None,382_Nai,731,750
['382_Nai_bgm']/750to754.jpg,blank,None,None,382_Nai,750,754
['382_Nai_bgm']/754to786.jpg,emotional,None,None,382_Nai,754,786
['382_Nai_bgm']/786to792.jpg,emotional,None,None,382_Nai,786,792
['382_Nai_bgm']/792to805.jpg,Intense - Tension/Fight,None,None,382_Nai,792,805
['382_Nai_bgm']/805to811.jpg,Intense - Tension/Fight,None,None,382_Nai,805,811
['382_Nai_bgm']/811to823.jpg,Intense - Tension/Fight,None,None,382_Nai,811,823
['382_Nai_bgm']/823to840.jpg,Intense - Tension/Fight,None,None,382_Nai,823,840
['382_Nai_bgm']/840to846.jpg,Intense - Tension/Fight,None,None,382_Nai,840,846
['382_Nai_bgm']/846to860.jpg,Intense - Tension/Fight,None,None,382_Nai,846,860
['382_Nai_bgm']/860to878.jpg,Intense - Tension/Fight,None,None,382_Nai,860,878
['382_Nai_bgm']/878to890.jpg,Intense - Tension/Fight,None,None,382_Nai,878,890
['382_Nai_bgm']/890to901.jpg,no emotion,None,None,382_Nai,890,901
['382_Nai_bgm']/901to923.jpg,no emotion,None,None,382_Nai,901,923
['382_Nai_bgm']/923to930.jpg,emotional,None,None,382_Nai,923,930
['382_Nai_bgm']/930to946.jpg,emotional,None,None,382_Nai,930,946
['382_Nai_bgm']/946to953.jpg,no emotion,emotional,None,382_Nai,946,953
['382_Nai_bgm']/953to958.jpg,emotional,None,None,382_Nai,953,958
['382_Nai_bgm']/958to974.jpg,emotional,None,None,382_Nai,958,974
['382_Nai_bgm']/974to989.jpg,no emotion,Intense - Tension/Fight,None,382_Nai,974,989
['382_Nai_bgm']/989to1012.jpg,Intense - Tension/Fight,None,None,382_Nai,989,1012
['382_Nai_bgm']/1012to1018.jpg,no emotion,None,None,382_Nai,1012,1018
['382_Nai_bgm']/1018to1031.jpg,Intense - Tension/Fight,None,None,382_Nai,1018,1031
['382_Nai_bgm']/1031to1036.jpg,Intense - Tension/Fight,None,None,382_Nai,1031,1036
['382_Nai_bgm']/1036to1040.jpg,Intense - Tension/Fight,None,None,382_Nai,1036,1040
['382_Nai_bgm']/1040to1059.jpg,Intense - Tension/Fight,None,None,382_Nai,1040,1059
['382_Nai_bgm']/1059to1065.jpg,Intense - Tension/Fight,None,None,382_Nai,1059,1065
['382_Nai_bgm']/1065to1073.jpg,Intense - Tension/Fight,None,None,382_Nai,1065,1073
['382_Nai_bgm']/1073to1091.jpg,Intense - Tension/Fight,None,None,382_Nai,1073,1091
['382_Nai_bgm']/1091to1130.jpg,Intense - Tension/Fight,None,None,382_Nai,1091,1130
['382_Nai_bgm']/1130to1143.jpg,emotional,None,None,382_Nai,1130,1143
['382_Nai_bgm']/1143to1147.jpg,emotional,None,None,382_Nai,1143,1147
['382_Nai_bgm']/1147to1193.jpg,Intense - Tension/Fight,None,None,382_Nai,1147,1193
['382_Nai_bgm']/1193to1213.jpg,Intense - Tension/Fight,None,None,382_Nai,1193,1213
['382_Nai_bgm']/1213to1221.jpg,Intense - Tension/Fight,None,None,382_Nai,1213,1221
['382_Nai_bgm']/1221to1228.jpg,no emotion,None,None,382_Nai,1221,1228
['382_Nai_bgm']/1228to1232.jpg,Intense - Tension/Fight,None,None,382_Nai,1228,1232
['382_Nai_bgm']/1232to1238.jpg,Intense - Tension/Fight,None,None,382_Nai,1232,1238
['382_Nai_bgm']/1238to1253.jpg,Intense - Tension/Fight,None,None,382_Nai,1238,1253
['366_Kar_bgm']/0to4.jpg,blank,None,None,366_Kar,0,4
['366_Kar_bgm']/4to10.jpg,happy,None,None,366_Kar,4,10
['366_Kar_bgm']/10to26.jpg,happy,None,None,366_Kar,10,26
['366_Kar_bgm']/26to30.jpg,Intense - Tension/Fight,None,None,366_Kar,26,30
['366_Kar_bgm']/30to34.jpg,Intense - Tension/Fight,None,None,366_Kar,30,34
['366_Kar_bgm']/34to40.jpg,Intense - Tension/Fight,None,None,366_Kar,34,40
['366_Kar_bgm']/40to45.jpg,Intense - Tension/Fight,None,None,366_Kar,40,45
['366_Kar_bgm']/45to54.jpg,Intense - Tension/Fight,None,None,366_Kar,45,54
['366_Kar_bgm']/54to61.jpg,Intense - Tension/Fight,None,None,366_Kar,54,61
['366_Kar_bgm']/61to69.jpg,Intense - Tension/Fight,None,None,366_Kar,61,69
